,status_group,amount_tsh,count_month,funder,gps_height,installer,basin,public_meeting,permit,construction_year,extraction_type_class,management,payment,quality_group,quantity,source,source_class,missing_construction_year
46506,1,4000.0,3,8,458.0,6,4,2,1,1986.0,5,9,0,5,3,3,2,False
36494,1,600.0,3,8,548.0,6,4,2,1,1992.0,5,9,5,5,3,3,2,False
263,0,250.0,4,9,1166.0,4,8,2,2,2000.0,4,2,1,5,2,8,0,True
35410,2,30.0,4,6,1032.0,4,0,2,2,2004.0,4,9,4,5,0,6,0,False
18340,1,250.0,4,6,1166.0,1,8,2,2,2000.0,5,9,1,5,3,1,0,True
24899,1,250.0,4,6,1166.0,4,7,2,0,2000.0,5,9,1,5,0,1,0,True
54026,0,250.0,3,6,1498.0,4,1,2,2,1976.0,3,9,1,5,4,6,0,False
39116,1,250.0,4,6,1166.0,4,8,2,1,2000.0,5,2,2,5,3,1,0,True
24562,0,250.0,4,10,1166.0,8,6,1,1,2000.0,3,9,1,0,4,8,0,True
26700,1,250.0,4,8,1166.0,3,6,2,2,2000.0,5,9,2,5,3,3,2,True
51311,1,250.0,4,7,1166.0,1,8,2,2,2000.0,5,9,1,5,3,1,0,True
50677,2,250.0,4,6,1166.0,4,3,2,2,2000.0,3,6,1,5,3,8,0,True
57101,2,2000.0,3,8,490.0,6,4,2,1,1984.0,3,9,5,5,3,6,0,False
23298,1,250.0,4,6,1166.0,4,8,2,2,2000.0,3,9,4,5,3,8,0,True
23248,0,250.0,3,6,1661.0,4,1,0,0,1970.0,0,9,3,3,1,6,0,False
37858,2,30.0,3,6,1027.0,4,1,2,2,2012.0,5,9,4,5,3,3,2,False
28158,1,20.0,4,6,342.0,4,0,2,2,2010.0,0,9,4,5,0,6,0,False
48536,1,250.0,4,6,1166.0,4,7,2,0,2000.0,5,9,1,5,3,3,2,True
51730,2,250.0,4,6,1542.0,1,6,2,1,2008.0,3,9,1,5,3,6,0,False
9472,1,600.0,3,6,824.0,1,5,2,2,2009.0,5,9,2,5,3,3,2,False
45032,2,50.0,4,6,74.0,4,0,2,2,2008.0,2,9,4,5,3,3,2,False
17814,2,250.0,3,6,1370.0,4,1,2,2,2008.0,5,8,2,5,3,1,0,False
26142,2,250.0,4,9,1166.0,1,2,2,2,2005.0,4,9,1,4,3,2,2,False
23578,0,250.0,4,9,1618.0,1,6,2,1,2009.0,3,9,1,0,0,6,0,False
20508,1,250.0,4,6,1887.0,4,2,2,2,1998.0,5,9,1,5,3,1,0,False
54558,1,250.0,3,6,1166.0,1,8,2,1,2000.0,3,2,1,5,3,8,0,True
39807,1,50.0,3,6,1509.0,4,1,2,2,2006.0,2,2,4,5,3,6,0,False
24789,0,250.0,4,8,1166.0,4,7,2,2,2000.0,5,9,2,5,4,1,0,True
10009,0,50.0,4,0,1166.0,4,0,2,1,2006.0,0,9,4,0,3,6,0,False
5088,2,250.0,4,6,1166.0,4,8,1,2,2000.0,4,9,1,1,3,8,0,True
40923,0,50.0,4,6,104.0,1,0,2,2,1986.0,2,9,4,5,0,3,2,False
47829,2,50.0,3,6,-25.0,4,4,2,2,2006.0,0,9,4,0,3,6,0,False
15770,1,250.0,4,2,339.0,9,2,2,1,1978.0,5,9,1,5,0,3,2,False
32722,0,500.0,4,1,1474.0,1,3,2,2,1978.0,5,6,2,5,4,3,2,False
47671,0,50.0,3,0,1299.0,4,0,2,2,2009.0,0,9,4,0,3,6,0,False
32657,1,250.0,3,3,1166.0,4,5,2,2,2000.0,3,2,3,5,3,8,0,True
38080,0,250.0,3,6,1181.0,1,5,2,1,1995.0,3,9,3,5,2,8,0,False
26136,0,250.0,4,6,1166.0,4,8,0,2,2000.0,3,9,1,3,1,6,0,True
53623,2,20.0,3,6,1311.0,4,1,2,0,2007.0,5,9,4,5,0,3,2,False
6872,0,250.0,4,6,1166.0,4,5,2,2,2000.0,3,9,1,0,2,6,0,True
41945,2,250.0,3,6,1292.0,4,1,1,1,2002.0,0,7,1,5,3,6,0,False
31040,1,250.0,4,0,1166.0,4,0,2,2,2005.0,0,9,1,0,0,6,0,False
7352,2,100.0,3,6,1214.0,4,8,1,2,2010.0,5,1,4,5,1,0,2,False
41390,0,250.0,4,7,1166.0,1,8,2,2,2000.0,3,9,1,5,4,7,2,True
38927,2,500.0,4,6,2036.0,4,3,2,2,2008.0,5,6,2,5,3,1,0,False
50016,1,200.0,3,1,877.0,1,3,2,2,1993.0,5,9,2,5,3,3,2,False
8522,0,250.0,3,6,1312.0,4,3,2,1,1974.0,1,9,1,0,3,6,0,False
15374,0,250.0,4,6,329.0,1,0,2,2,1982.0,3,9,1,0,0,8,0,False
37739,1,50.0,3,6,382.0,4,4,2,2,2007.0,0,9,4,0,0,6,0,False
