,status_group,amount_tsh,count_month,funder,gps_height,installer,basin,public_meeting,permit,construction_year,extraction_type_class,management,payment,quality_group,quantity,source,source_class,missing_construction_year
59400,3,250.0,3,6,1996.0,4,1,2,2,2012.0,4,1,1,5,2,7,2,False
59401,3,250.0,3,2,1569.0,1,2,2,2,2000.0,5,9,1,5,0,1,0,False
59402,3,250.0,3,6,1567.0,4,1,2,0,2010.0,4,9,1,5,0,7,2,False
59403,3,250.0,3,6,267.0,4,4,0,2,1987.0,4,9,3,5,4,8,0,False
59404,3,500.0,3,6,1260.0,4,4,0,2,2000.0,5,8,2,5,3,1,0,False
59405,3,250.0,3,2,1685.0,1,2,2,2,1990.0,5,9,1,5,3,1,0,False
59406,3,250.0,4,2,550.0,4,3,2,2,2007.0,3,9,1,0,3,6,0,False
59407,3,250.0,3,6,234.0,4,4,2,2,1982.0,0,9,1,5,4,6,0,False
59408,3,30.0,3,1,584.0,4,4,2,1,1997.0,5,9,4,5,0,1,0,False
59409,3,250.0,3,6,1083.0,4,2,2,2,2003.0,5,8,2,5,3,1,0,False
59410,3,5.0,3,6,1259.0,7,2,2,2,2006.0,5,8,4,5,3,1,0,False
59411,3,250.0,3,3,608.0,4,2,2,2,2002.0,4,9,1,5,4,7,2,False
59412,3,250.0,4,0,1166.0,4,1,2,2,2000.0,2,9,3,5,4,6,0,True
59413,3,250.0,4,6,1166.0,1,8,2,2,2000.0,2,9,4,5,3,6,0,True
59414,3,1000.0,4,8,1625.0,4,3,2,2,1984.0,5,9,2,5,3,1,0,False
59415,3,1200.0,3,8,916.0,1,4,2,2,1989.0,5,9,5,5,3,3,2,False
59416,3,250.0,4,6,-39.0,4,3,2,1,2000.0,3,9,1,5,3,8,0,True
59417,3,200.0,4,2,1793.0,1,2,2,2,1978.0,5,9,2,5,3,1,0,False
59418,3,250.0,4,6,1166.0,1,5,2,2,2000.0,5,1,3,5,2,7,2,True
59419,3,250.0,3,6,368.0,4,4,2,2,1982.0,0,9,1,5,4,6,0,False
59420,3,250.0,3,6,-27.0,4,0,2,1,2010.0,0,0,1,5,3,6,0,False
59421,3,250.0,4,6,1674.0,1,3,2,1,2008.0,5,9,1,5,0,1,0,False
59422,3,250.0,3,9,1087.0,1,5,2,2,2005.0,4,9,3,1,3,8,0,False
59423,3,250.0,3,6,1441.0,4,1,2,0,1970.0,2,9,3,3,4,6,0,False
59424,3,250.0,4,6,1166.0,1,8,2,1,2000.0,3,2,1,5,3,8,0,True
59425,3,200.0,4,6,1726.0,1,3,2,1,2008.0,5,9,2,5,3,1,0,False
59426,3,250.0,3,6,986.0,1,4,2,2,2009.0,5,9,1,5,4,3,2,False
59427,3,250.0,4,6,1166.0,4,0,2,1,2000.0,2,9,4,0,4,6,0,True
59428,3,250.0,3,6,1166.0,1,8,2,1,2000.0,3,2,0,0,3,8,0,True
59429,3,250.0,3,6,1309.0,4,1,2,1,2002.0,5,9,1,5,2,7,2,False
59430,3,5.0,3,6,1564.0,4,1,2,2,2002.0,5,9,4,5,3,3,2,False
