,id,status_group
0,50785,0
1,51630,0
2,17168,2
3,45559,0
4,49871,2
5,52449,2
6,24806,0
7,28965,0
8,36301,0
9,54122,2
10,419,2
11,45750,0
12,653,0
13,14017,2
14,44607,2
15,40228,2
16,27714,0
17,28785,0
18,28330,2
19,18532,0
20,69961,2
21,55083,2
22,8691,0
23,30331,0
24,70970,2
25,61136,2
26,28799,0
27,46825,0
28,44718,1
29,37350,0
30,65738,2
31,3271,0
32,42658,0
33,67523,2
34,37034,1
35,42432,2
36,27420,2
37,707,1
38,48489,0
39,51008,0
40,72562,0
41,10275,2
42,53540,0
43,43291,0
44,8813,2
45,62343,0
46,1649,2
47,8822,2
48,10352,0
49,50878,2
50,15266,2
51,51956,0
52,44099,2
53,59,0
54,51359,0
55,15962,0
56,17853,1
57,42040,0
58,72243,0
59,63653,0
60,26510,2
61,72053,2
62,29351,2
63,51897,0
64,20376,2
65,26804,2
66,67303,2
67,69780,0
68,45374,2
69,54665,0
70,39341,0
71,8869,1
72,20691,0
73,19693,0
74,14321,0
75,63059,2
76,67403,2
77,28912,2
78,12549,2
79,24328,0
80,13750,2
81,1574,0
82,44149,2
83,53917,2
84,22705,2
85,66465,2
86,15644,2
87,20773,0
88,33092,0
89,54392,2
90,37850,2
91,5576,0
92,60840,2
93,9971,0
94,57508,2
95,25872,2
96,43978,2
97,38181,2
98,24325,2
99,2724,0
100,34794,0
101,56525,0
102,63155,0
103,67247,2
104,23387,2
105,17873,2
106,18197,2
107,24834,2
108,4091,2
109,33261,2
110,44384,2
111,62096,0
112,64554,2
113,68314,2
114,53,0
115,23426,2
116,38259,0
117,16631,0
118,43162,2
119,44492,2
120,38884,0
121,13690,2
122,60335,0
123,31856,0
124,67891,2
125,25564,0
126,55293,2
127,31866,2
128,71178,2
129,60279,2
130,28615,2
131,8744,2
132,48308,2
133,49626,0
134,38098,2
135,30309,1
136,8015,2
137,3496,1
138,56971,2
139,68616,2
140,8646,2
141,74104,2
142,37501,0
143,33001,0
144,69202,2
145,68409,0
146,51847,0
147,55647,0
148,17923,1
149,71743,0
150,51539,2
151,73819,2
152,66881,2
153,58768,0
154,2648,0
155,68933,2
156,12427,2
157,16633,0
158,24123,2
159,58551,0
160,17132,2
161,3027,0
162,2651,0
163,25998,0
164,63400,2
165,50028,0
166,67897,0
167,21425,2
168,71756,2
169,16862,2
170,15420,0
171,47784,2
172,712,2
173,54368,0
174,2866,2
175,51130,2
176,27993,2
177,21621,0
178,66038,2
179,42182,2
180,17694,0
181,57759,0
182,47978,2
183,52359,2
184,69656,0
185,24086,0
186,43579,0
187,43284,0
188,2877,0
189,21171,2
190,40982,1
191,48396,2
192,13323,1
193,28467,2
194,2768,2
195,73593,2
196,65164,2
197,69976,0
198,52145,1
199,49259,2
200,23542,2
201,69848,0
202,9305,2
203,14359,2
204,28925,0
205,21243,0
206,10616,0
207,73667,2
208,20566,2
209,63711,2
210,72840,0
211,31651,0
212,3782,1
213,6799,2
214,21402,1
215,35390,2
216,12636,0
217,36887,2
218,20086,0
219,5634,2
220,48029,2
221,29927,2
222,2930,2
223,41800,2
224,68349,2
225,61678,0
226,30270,2
227,4678,2
228,9392,0
229,20735,2
230,49300,0
231,70339,2
232,25572,1
233,61445,1
234,32190,2
235,39189,2
236,14853,0
237,52207,2
238,48035,2
239,73122,2
240,16352,2
241,42721,2
242,15116,2
243,7837,0
244,56907,2
245,46382,2
246,64521,0
247,67362,2
248,61861,2
249,72139,0
250,3398,2
251,62911,2
252,48152,0
253,48001,2
254,64118,2
255,65793,2
256,61557,0
257,32352,2
258,1830,2
259,50553,2
260,51961,0
261,38481,2
262,48371,2
263,56540,0
264,18142,2
265,72934,0
266,39300,0
267,40115,0
268,3793,2
269,59318,2
270,68070,2
271,67527,0
272,34898,2
273,26592,2
